640488,920772,1101776,1271576,1420484,1552368,1678404,1789512,1897360,2003324
641480,904720,1102008,1271984,1421988,1554016,1681044,1781764,1906216,2005660
640484,899740,1103272,1272864,1419532,1551724,1680892,1792860,1898056,2006368
641004,898900,1103244,1272912,1419544,1553008,1681416,1791584,1901584,2008956
642884,900832,1102860,1271768,1421260,1553972,1683596,1791824,1905612,2008124
642360,891312,1101400,1267960,1418032,1546420,1680976,1790980,1903408,2002552
640700,895568,1103448,1265584,1418584,1551408,1679824,1789316,1906032,2001876
640776,896596,1104244,1268936,1419312,1554788,1681840,1786188,1903164,2003172
643108,896724,1103396,1284332,1419924,1548972,1685044,1790152,1907612,2003160
643600,896156,1103252,1263180,1419632,1549272,1684100,1792644,1909904,2004944
643336,890340,1111308,1270844,1414708,1537672,1679412,1788092,1902068,2001976
642824,892352,1104812,1273512,1417332,1540536,1679000,1785016,1904564,2003868
643016,894328,1104768,1274780,1420464,1541092,1679300,1789436,1900616,2005660
641276,895160,1104012,1275808,1419884,1544364,1677984,1791628,1900492,2001236
640672,896352,1103684,1272780,1423540,1547448,1680620,1791176,1903104,2004728
641248,894452,1103596,1270560,1414100,1549776,1693728,1794688,1904068,2004848
639744,894656,1103060,1269144,1404904,1553160,1684208,1791440,1905456,2003832
638264,895916,1102868,1267692,1423304,1554960,1685880,1790648,1905976,2006948
639736,896820,1102944,1268456,1416520,1561060,1677052,1790896,1906904,2007328
641652,897412,1103144,1269404,1425944,1559896,1684072,1789664,1907104,2008440
641592,889916,1101640,1274836,1431820,1547280,1673596,1787636,1902612,2007464
643132,905400,1102176,1273436,1424264,1549676,1676400,1791272,1904780,2006808
644068,900516,1102824,1271424,1416456,1551652,1683540,1792028,1905728,2005080
642856,899404,1103232,1260948,1412096,1552208,1682556,1791400,1906992,2004652
641620,900232,1103296,1270468,1417140,1553052,1677624,1790024,1908876,2005280
638544,898152,1103136,1269052,1423332,1561660,1679648,1789916,1905540,2001820
639448,895184,1102032,1269368,1414708,1556296,1679444,1789876,1907484,2006408
638272,896328,1103708,1273516,1419432,1555536,1678916,1789688,1903800,2006436
639728,896848,1105592,1272944,1413976,1551052,1679600,1789928,1903896,2006900
645344,898684,1109332,1274248,1420080,1551508,1677624,1790848,1907228,2007228
643988,899784,1102916,1271360,1420328,1556676,1679648,1794596,1906492,2007412
642684,902380,1104024,1270440,1416280,1551372,1679444,1796568,1905420,2006548
641220,904656,1104496,1271180,1417356,1548256,1678916,1790800,1903812,2005480
640528,901912,1104332,1271064,1415732,1553676,1679600,1790616,1904744,2003752
647356,896044,1102872,1270904,1414956,1567464,1679672,1789392,1901944,2003888
647068,895664,1106392,1268124,1410264,1552748,1679776,1791748,1901712,2003620
644880,897356,1101932,1270112,1412964,1551112,1679760,1791680,1902616,2006928
644460,898700,1103188,1273180,1414172,1549720,1679584,1791616,1904100,2009844
643200,900160,1102928,1275264,1417504,1550372,1679552,1791192,1904708,2005296
642116,900396,1101748,1276108,1419204,1550356,1679888,1790992,1905708,2003996
641392,901024,1104356,1273084,1422544,1550776,1679684,1791904,1900880,2006284
643404,899260,1103676,1269212,1419556,1549448,1679684,1788380,1900272,2004600
648164,901536,1103276,1269052,1417124,1545932,1679668,1791884,1903640,2006792
643856,899752,1101676,1275700,1414112,1548592,1679624,1791240,1904428,2007828
644536,898144,1102716,1276960,1416136,1553280,1678812,1791676,1906352,2004276
643628,899988,1100656,1265900,1410772,1546300,1679128,1793008,1903116,2004728
642192,899724,1104580,1282052,1411028,1549104,1679060,1791972,1906636,2004868
642360,898352,1104572,1276332,1418408,1552424,1679160,1791108,1905088,2005272
645620,898200,1107176,1272156,1418008,1553032,1679336,1792884,1903464,2005024
645340,898888,1108236,1255228,1413020,1551524,1679588,1787420,1904912,2007784
