"time(min)","h","T"
0,95,20
2.99999999999999,91.9,19.04
8.99999999999997,88.6,18.06
14.0000000000001,85.7,17.07
17.0000000000001,82.7,16.02
21.0000000000001,79.1,15.03
25.0000000000001,75.5,14.04
29.0000000000001,72.9,13.06
33,69.2,12.02
36,65.2,11.04
41,61.9,10.01
47,57.4,9.05
51,54.2,8.07
56,50.1,7.05
66.9999999999999,46.9,6.06
70.0000000000001,42.6,4.96
75.0000000000001,38.5,4.03
80,35.3,3.03
83,30.2,1.96
90,26.8,0.96
95,23.3,0.02
111,27.1,0.99
116,30.2,2.01
125,35,3
127,39,4.02
129,42.6,5.02
132,46.7,6.06
134,49.9,7.02
136,54,8.03
138,57.6,9
141,61.8,10.07
143,65,11.03
145,68.7,12.01
147,72.1,13.01
151,75.5,14
153,78.9,15.03
154,81.9,16
158,85.6,17.03
161,89,18.06
164,92.2,19.04
167,95.1,20
