"Time(min)","cmHg(cm)","Press(mbar)"
-8.99999999999997,72.2,6
-2.99999999999999,72.4,6.1
4.99999999999998,72.4,6
14,72.4,6.1
18.9999999999999,72.4,6.1
22.9999999999999,72.4,6.1
31,72.3,6
36,72.3,6
46,72.4,6
56,72.4,6
62.9999999999999,72.4,5.8
66.9999999999999,72.4,5.9
75.0000000000001,72.3,5.9
78,72.4,5.8
81,72.4,5.7
87,72.4,5.6
91,72.4,5.7
94,72.4,5.7
106,72.3,5.5
116,72.4,5.4
123,72.4,5.4
128,72.4,5.4
137,72.3,5.4
146,72.4,5.4
162,72.3,5.3
172,72.4,5.2
177,72.4,5.2
188,72.4,5.2
192,72,5.2
200,72.4,5.2
